ID;Название;Предмет;Классы;Класс от;Класс до;Формат;Тип участия;Рейтинг;Статус;Статус исходный;Календарь;Календарь статус;Календарь исходный;Расписание обновлено;Источник календаря;Уровень олимпиады;Профиль уровня;Статус уровня;Источник уровня;Дата проверки;Организатор;Контакты;Документы;Описание;Особенности;Источник;URL
88;Всероссийская олимпиада по английскому языку;Английский язык;5–11 классы;5.0;11.0;Очная;Личная;7.7;Идёт этап;Школьный этап проходит до 1 ноября;"Школьный этап: До 1 ноя
Муниципальный этап: 2 ноя—25 дек";Опубликован;"Школьный этап
До 1 ноя
Муниципальный этап
2 ноя—25 дек";Обновлено 1 сентября;https://olimpiada.ru/activity/88;ВсОШ;Английский язык;"ВсОШ: отдельная система; уровни I–III РСОШ не применяются";https://vserosolimp.edsoo.ru/;24.09.2026;"Минпросвещения России; →; Ответственные в регионах";vserosolimp.edsoo.ru;"Порядок проведения; →";Первая Всероссийская олимпиада школьников по английскому языку прошла в 1998 году в Смоленске. .. Соревнование проводится в четыре этапа. В школьном могут участвовать ребята, начиная с 5 класса, в муниципальном – с 7-го, в региональном и заключительном – с 9-го. Победители и призеры финала получают льготы при поступлении в российские вузы по профильному направлению. Задания олимпиады требуют от участников таких навыков, как чтение, аудирование, письменная и устная речь. Устная часть соревнования оценивается двумя членами жюри: один из них дает задания ученикам, а второй наблюдает со стороны и делает пометки. Все собеседования записываются на диктофон. Кроме того, в ходе олимпиады проверяется знание лексики, грамматики и культурной жизни англоговорящих стран.;Личная | Участник самостоятельно выполняет задания | Очная | Для участия нужно прийти в заранее известное место проведения | Правила игры | Общие положения прописаны в Порядке проведения олимпиады, который утверждает Минобрнауки России | Порядок проведения ВсОШ → | Льготы при поступлении | Победители и призеры финала олимпиады поступают без экзаменов в любой вуз по профильному направлению | Подробнее о льготах → | Локальные особенности | В Москве школьный этап проходит по единым заданиям и единому графику | Сайт этапов ВсОШ в Москве →;Объединение: Всероссийская олимпиада школьников;https://olimpiada.ru/activity/88
5758;Олимпиада «Миссия выполнима. Твое призвание - финансист!» по английскому языку;Английский язык;8–11 классы;8.0;11.0;Очно-заочная;Личная;8.1;Текущий статус не указан;Регистрация на отборочный этап открыта до 30 ноября;"Регистрация на отборочный этап: До 30 ноя
Отборочный этап: 1—2 дек";Опубликован;"Регистрация на отборочный этап
До 30 ноя
Отборочный этап
1—2 дек";Обновлено 14 сентября;https://olimpiada.ru/activity/5758;III;иностранный язык;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Финансовый университет при Правительстве Российской Федерации; →";"mission.fa.ru; olymp@fa.ru";;;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада «Миссия выполнима. Твое призвание – финансист!»;https://olimpiada.ru/activity/5758
5908;Олимпиада «Учись строить будущее» по иностранному языку;Английский язык;10–11 классы;10.0;11.0;Очно-заочная;Личная;6.3;Следующий цикл ожидается;Следующее соревнование ожидается в ноябре 2026 года;Следующее соревнование: Следующее соревнование ожидается в ноябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5908;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Московский государственный строительный университет; →";"mgsu.ru/...; olimp@mgsu.ru";"Положение и регламент; →";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада «Учись строить будущее»;https://olimpiada.ru/activity/5908
5618;Олимпиада «Формула Единства»/«Третье тысячелетие» по английскому языку;Английский язык;5–11 классы;5.0;11.0;Очно-заочная;Личная;8.3;Этап запланирован;Отборочный этап пройдет с 20 октября по 13 ноября;Отборочный этап: 20 окт—13 ноя;Опубликован;"Отборочный этап
20 окт—13 ноя";Обновлено 15 сентября;https://olimpiada.ru/activity/5618;—;;Этот профиль не найден в проекте РСОШ 2026/27;https://rsr-olymp.ru/news/123;24.09.2026;"Невский институт языка и культуры; →; Институт иностранных языков; Мурманский арктический государственный университет";"formulo.org/...; olimp.eng@formulo.org";"Положение; →; Регламент";К участию приглашаются ученики 5-11 классов из России и СНГ. .. Соревнование состоит из двух обязательных этапов: отборочного и заключительного. Первый проводится в заочной форме. Заключительный этап проходит в очной форме на региональных площадках. К участию в финале соревнования допускаются победители и призеры отборочного этапа.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада «Формула Единства»/«Третье тысячелетие»;https://olimpiada.ru/activity/5618
5732;Олимпиада Учи.ру по английскому языку;Английский язык;1–11 классы;1.0;11.0;Дистанционная;Личная;8.4;Расписание не опубликовано;Расписание следующей олимпиады ожидается в марте 2027 года;Публикация расписания: ожидается в марте 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5732;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Учи.ру; →";"english.uchi.ru; support@uchi.ru";;Олимпиада проводится для учеников 1-11 классов в онлайн-режиме. Интерактивные задания тренируют внимание, память и лексику английского языка, но при этом не требуют углубленных знаний школьной программы. .. На выполнение заданий первого тура отводится 60 минут, результаты будут известны сразу после окончания олимпиады. Школьников, успешно справившихся с заданиями, пригласят на второй тур.;Личная | Участник самостоятельно выполняет задания | Дистанционная | Можно участвовать не выходя из дома, достаточно иметь компьютер с доступом в интернет;Объединение: Олимпиады Учи.ру;https://olimpiada.ru/activity/5732
5704;Олимпиада школьников «Путь к успеху» по английскому языку;Английский язык;9–11 классы;9.0;11.0;Очно-заочная;Личная;7.7;Итоги опубликованы;"Опубликованы итоги; следующее соревнование ожидается в ноябре 2026 года";"Следующее соревнование: Опубликованы итоги; следующее соревнование ожидается в ноябре 2026 года";Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5704;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Магнитогорский государственный технический университет имени Г. И. Носова; →";"molimp.magtu.ru; fdp_magtu@mail.ru";"Положение; →";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Многопрофильная олимпиада школьников «Путь к успеху»;https://olimpiada.ru/activity/5704
5519;Открытая российская интернет-олимпиада по английскому языку;Английский язык;1–9 классы;1.0;9.0;Дистанционная;Личная;7.9;Регистрация открыта;Отборочный этап стартует 20 октября. Регистрация открыта;"Осенняя олимпиада: 22—28 ноя
Зимняя олимпиада: 22—28 фев
Весенняя олимпиада: 22—28 мая";Опубликован;"Осенняя олимпиада
22—28 ноя
Зимняя олимпиада
22—28 фев
Весенняя олимпиада
22—28 мая";Обновлено 18 июня;https://olimpiada.ru/activity/5519;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;СПбАППО;"metaschool.ru/...; krug@metaschool.ru";;;Личная | Участник самостоятельно выполняет задания | Дистанционная | Можно участвовать не выходя из дома, достаточно иметь компьютер с доступом в интернет;Объединение: Открытые российские интернет-олимпиады для школьников;https://olimpiada.ru/activity/5519
5604;Северо-Восточная олимпиада по английскому языку;Английский язык;10–11 классы;10.0;11.0;Очно-заочная;Личная;7.5;Следующий цикл ожидается;Следующее соревнование начнется в ноябре 2026 года;Следующее соревнование: Следующее соревнование начнется в ноябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5604;—;;Этот профиль не найден в проекте РСОШ 2026/27;https://rsr-olymp.ru/news/123;24.09.2026;"Северо-Восточный федеральный университет имени М. К. Аммосова; →";"olympiadsvosh.s-vfu.ru/...; svosh.s-vfu@mail.ru";"Положение; →; Регламент";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Северо-Восточная олимпиада;https://olimpiada.ru/activity/5604
5201;Московский международный фестиваль языков;"Английский язык; Арабский язык; Испанский язык; Итальянский язык; Китайский язык; Корейский язык; Латинский язык; Лингвистика; Немецкий язык; Русский язык; Французский язык; Японский язык";1–11 классы;1.0;11.0;Очная;Личная;8.3;Информация ожидается;Информация о следующем фестивале ожидается в октябре 2026 года;Обновление информации: ожидается в октябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5201;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;;lingvafestivalo.info;;;Личная | Участник самостоятельно выполняет задания | Очная | Для участия нужно прийти в заранее известное место проведения;Каталог /activities;https://olimpiada.ru/activity/5201
5003;Международная олимпиада «Евразийская лингвистическая олимпиада»;"Английский язык; Арабский язык; Испанский язык; Итальянский язык; Китайский язык; Корейский язык; Немецкий язык; Французский язык; Японский язык";7–11 классы;7.0;11.0;Очно-заочная;Личная;8.8;Этап запланирован;Регистрация на отборочный этап начнется 16 ноября;"Регистрация: 16 ноя—30 дек
Отборочный этап: 16 ноя—14 янв
Заключительный этап: 14 фев";Опубликован;"Регистрация
16 ноя—30 дек
Отборочный этап
16 ноя—14 янв
Заключительный этап
14 фев";Обновлено 27 мая;https://olimpiada.ru/activity/5003;II;иностранный язык;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Московский государственный лингвистический университет; →; Дальневосточный федеральный университет; Пермский государственный национальный исследовательский университет; Новосибирский национальный исследовательский государственный университет (НГУ); Челябинский государственный университет; Нижегородский государственный лингвистический университет; Байкальский государственный университет; Забайкальский государственный университет; Пятигорский государственный лингвистический университет";"elo.linguanet.ru; olimpiada_mglu@linguanet.ru";"Положение; →; Регламент";Евразийская лингвистическая олимпиада проводится по английскому, испанскому, китайскому, немецкому, итальянскому, французскому, японскому, корейскому и арабскому языкам среди учеников 7-11 классов. Соревнование включает два обязательных этапа. .. Отборочный этап проходит в дистанционном режиме. Для участия школьникам необходимо зарегистрироваться, получить задания в личном кабинете и начать выполнять их сразу. На решение заданий отводится определенное время: для 7-8 классов два часа, для 9-11 классов три часа. Победители и призеры отборочного этапа допускаются к участию в финале. Заключительный этап проходит очно на региональных площадках, расписание и места проведения организаторы публикуют на официальном сайте олимпиады.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5003
